"Step","exp2-adamw-cosine-40epochs - train_loss","exp2-adamw-cosine-40epochs - train_loss__MIN","exp2-adamw-cosine-40epochs - train_loss__MAX"
"0","0.6537031621329648","0.6537031621329648","0.6537031621329648"
"1","0.5342339664164962","0.5342339664164962","0.5342339664164962"
"2","0.4871885885860375","0.4871885885860375","0.4871885885860375"
"3","0.45843773958319667","0.45843773958319667","0.45843773958319667"
"4","0.43376941325691437","0.43376941325691437","0.43376941325691437"
"5","0.416053629913985","0.416053629913985","0.416053629913985"
"6","0.4013844096677436","0.4013844096677436","0.4013844096677436"
"7","0.38906269055823617","0.38906269055823617","0.38906269055823617"
"8","0.3778218280590601","0.3778218280590601","0.3778218280590601"
"9","0.3662282178986218","0.3662282178986218","0.3662282178986218"
"10","0.3561396646477205","0.3561396646477205","0.3561396646477205"
"11","0.3470349651485373","0.3470349651485373","0.3470349651485373"
"12","0.3377788622818908","0.3377788622818908","0.3377788622818908"
"13","0.3304351253377191","0.3304351253377191","0.3304351253377191"
"14","0.32273870654691533","0.32273870654691533","0.32273870654691533"
"15","0.3169608922046193","0.3169608922046193","0.3169608922046193"
"16","0.30912849594429764","0.30912849594429764","0.30912849594429764"
"17","0.3034119242530663","0.3034119242530663","0.3034119242530663"
"18","0.297380205016033","0.297380205016033","0.297380205016033"
"19","0.2896360130043155","0.2896360130043155","0.2896360130043155"
"20","0.28451467353784016","0.28451467353784016","0.28451467353784016"
"21","0.27852564329598606","0.27852564329598606","0.27852564329598606"
"22","0.2737547719775789","0.2737547719775789","0.2737547719775789"
"23","0.2675769894978738","0.2675769894978738","0.2675769894978738"
"24","0.2628885938497725","0.2628885938497725","0.2628885938497725"
"25","0.2586179987955856","0.2586179987955856","0.2586179987955856"
"26","0.2540996571895881","0.2540996571895881","0.2540996571895881"
"27","0.24979625171994893","0.24979625171994893","0.24979625171994893"
"28","0.24632864779777833","0.24632864779777833","0.24632864779777833"
"29","0.24270568481757746","0.24270568481757746","0.24270568481757746"
"30","0.2394215389525453","0.2394215389525453","0.2394215389525453"
"31","0.23551645300238064","0.23551645300238064","0.23551645300238064"
"32","0.23337290712184539","0.23337290712184539","0.23337290712184539"
"33","0.23095302498239678","0.23095302498239678","0.23095302498239678"
"34","0.2288051015318057","0.2288051015318057","0.2288051015318057"
"35","0.22620777598637404","0.22620777598637404","0.22620777598637404"
"36","0.2251618927588243","0.2251618927588243","0.2251618927588243"
"37","0.2240647748322949","0.2240647748322949","0.2240647748322949"
"38","0.22277236328243874","0.22277236328243874","0.22277236328243874"
"39","0.22211911829288344","0.22211911829288344","0.22211911829288344"